startup_id,startup_name,short_description,detailed_description,sector,sub_sectors,primary_technologies,secondary_technologies,years_of_operation,years_of_relevant_experience,team_size,team_capabilities,founder_experience_years,technical_team_percentage,annual_revenue,gross_margin_percentage,funding_stage,funding_amount,startup_stage,certifications,previous_government_projects,previous_enterprise_projects,successful_deployments,prototype_readiness,production_readiness,scalability_level,geographic_presence,headquarters_city,operating_states,preferred_deployment_locations,estimated_deployment_time_months,compliance_capability,support_capability,eligibility_status,capability_profile
773eea91-b7c9-43ca-9d88-ea91fc1fffe2,Trivedi Ltd,"Smart City startup focusing on Data Analytics, Edge Computing, Computer Vision","Trivedi Ltd specializes in Data Analytics, Edge Computing, Computer Vision combined with innovative software to solve smart city challenges.",Smart City,"['Defence', 'Disaster Management']","['Data Analytics', 'Edge Computing', 'Computer Vision']","['Cybersecurity', 'Drones']",12,7,123,Strong,19,41,10200000,25,Series B,2000000,Early Revenue,"['ISO 27001', 'None']",4,9,9,True,True,Low,National,Nashik,"['Gujarat', 'Delhi']",Pan India,3,Basic,24x7,Complete,highly_specialized
7ecaa4cc-d789-4c22-9962-ff06c3be3b3b,Dass Ltd,"Smart City startup focusing on Edge Computing, IoT, Computer Vision","We build Edge Computing, IoT, Computer Vision systems for smart city applications, delivering scalable solutions and intelligent integration.",Smart City,['Infrastructure'],"['Edge Computing', 'IoT', 'Computer Vision']",['Predictive Maintenance'],9,9,40,Average,23,73,49700000,50,Series C,11000000,MVP,['SOC 2'],3,16,1,True,True,Low,National,Delhi,"['Telangana', 'UP', 'West Bengal']",Pan India,6,Comprehensive,24x7,Complete,established_weak_relevance
690062e5-0fab-4748-a4e7-df8123c7c6ac,Kaul and Sons,"Agriculture startup focusing on Drones, Satellite Imaging, Computer Vision","An innovative startup leveraging Drones, Satellite Imaging, Computer Vision to revolutionize agriculture operations.",Agriculture,['Transportation'],"['Drones', 'Satellite Imaging', 'Computer Vision']",['Computer Vision'],10,8,93,Specialized,11,82,7800000,31,Bootstrapped,2000000,Prototype,"['SOC 2', 'None']",3,19,0,True,True,Medium,National,Kolkata,"['Tamil Nadu', 'West Bengal', 'Maharashtra']",Surat,5,Advanced,8x5,Incomplete,incomplete_eligibility
028aa565-0784-4a3c-88e2-550c05af0f04,Patla Ltd,"Healthcare startup focusing on Wearables, NLP","Patla Ltd specializes in Wearables, NLP combined with innovative software to solve healthcare challenges.",Healthcare,[],"['Wearables', 'NLP']",[],2,2,48,Average,18,65,49900000,61,Bootstrapped,10000000,MVP,"['ISO 27001', 'SOC 2']",3,7,4,True,True,Medium,Regional,Guwahati,"['Delhi', 'Telangana', 'Kerala', 'West Bengal']",Patna,4,Basic,24x7,Complete,early_stage_excellent_prototype
b763cf62-d912-4da5-8c19-4e29255d0fdc,Narayan-Kumer,"Logistics startup focusing on Predictive Analytics, Route Optimization","We provide end-to-end logistics services powered by Predictive Analytics, Route Optimization and a strong team of experts.",Logistics,['Disaster Management'],"['Predictive Analytics', 'Route Optimization']",['Satellite Imaging'],7,7,23,Specialized,22,48,2500000,46,Series C,0,Prototype,"['SOC 2', 'CMMI']",5,11,12,True,True,Medium,Local,Bhopal,['UP'],Noida,9,Advanced,8x5,Complete,excellent_tech_excellent_exp
8da016a1-93a1-4513-be08-698e1b1a59a4,Sankaran Ltd,"Public Safety startup focusing on Computer Vision, Biometrics","We provide end-to-end public safety services powered by Computer Vision, Biometrics and a strong team of experts.",Public Safety,"['Rural Development', 'Infrastructure']","['Computer Vision', 'Biometrics']","['IoT', 'Sensors']",6,6,7,Specialized,7,32,30800000,75,Bootstrapped,4000000,Early Revenue,"['CMMI', 'ISO 27001']",4,16,4,True,True,Medium,National,Jaipur,"['Kerala', 'Tamil Nadu']",Patna,9,Comprehensive,Community,Complete,strong_sector_weak_scale
512bc55a-44e1-4c4f-b373-40019e1ff53a,"Tara, Bera and Devan","Disaster Management startup focusing on Satellite Imaging, Predictive Analytics","We build Satellite Imaging, Predictive Analytics systems for disaster management applications, delivering scalable solutions and intelligent integration.",Disaster Management,"['Tourism', 'Water Management']","['Satellite Imaging', 'Predictive Analytics']","['Mobile Tech', 'IoT']",7,4,48,Specialized,22,40,29500000,39,Series C,20000000,Mature,"['SOC 2', 'None']",1,1,3,True,True,Low,Local,Kochi,"['Kerala', 'Telangana', 'Delhi']",Pan India,7,Comprehensive,Community,Incomplete,incomplete_eligibility
c48464e3-d8e9-4965-a5d6-90caa8431565,Banerjee-Kanda,"Disaster Management startup focusing on Predictive Analytics, Drones, IoT","We provide end-to-end disaster management services powered by Predictive Analytics, Drones, IoT and a strong team of experts.",Disaster Management,"['Healthcare', 'Cybersecurity']","['Predictive Analytics', 'Drones', 'IoT']","['Wearables', 'Blockchain']",7,5,39,Strong,14,47,18100000,43,Series C,9000000,MVP,"['None', 'CMMI']",1,15,10,True,True,Medium,Regional,Kolkata,"['Tamil Nadu', 'Maharashtra', 'UP']",Surat,7,Advanced,8x5,Complete,multi_sector
36d46684-6851-42dc-a9eb-13a9b3cc24d2,"Bandi, Malhotra and Tella","Water Management startup focusing on IoT, Predictive Analytics","Bandi, Malhotra and Tella specializes in IoT, Predictive Analytics combined with innovative software to solve water management challenges.",Water Management,[],"['IoT', 'Predictive Analytics']",[],15,14,6,Strong,24,77,13800000,44,Series C,7000000,MVP,['SOC 2'],5,7,1,True,True,Low,Regional,Jaipur,"['Maharashtra', 'Telangana', 'Karnataka', 'Tamil Nadu']",New Delhi,11,Advanced,24x7,Complete,multi_sector
2d2edeb2-aef4-4dc0-b040-898bdf321219,"Balasubramanian, Sharaf and Dixit","Transportation startup focusing on Route Optimization, Predictive Maintenance","We build Route Optimization, Predictive Maintenance systems for transportation applications, delivering scalable solutions and intelligent integration.",Transportation,['Waste Management'],"['Route Optimization', 'Predictive Maintenance']",['Sensors'],15,15,4,Strong,19,66,47900000,47,Series C,3000000,Early Revenue,"['CMMI', 'None']",4,16,15,True,True,Low,National,Kochi,"['Delhi', 'Maharashtra', 'Telangana']",New Delhi,11,Advanced,Community,Complete,established_weak_relevance
685c3ea2-6227-4c79-980b-d21838bc417e,Ray Inc,"Defence startup focusing on Cybersecurity, Robotics, AI","We provide end-to-end defence services powered by Cybersecurity, Robotics, AI and a strong team of experts.",Defence,[],"['Cybersecurity', 'Robotics', 'AI']",[],11,3,49,Specialized,12,41,16700000,21,Seed,15000000,Early Revenue,['ISO 27001'],2,12,7,True,True,Medium,Regional,Jaipur,"['Karnataka', 'Tamil Nadu', 'Gujarat']",Pan India,1,Comprehensive,8x5,Complete,multi_sector
7db80207-0f00-410d-8234-ce16e0d9b48e,Narang-Shetty,"Rural Development startup focusing on Data Analytics, Renewable Tech","We provide end-to-end rural development services powered by Data Analytics, Renewable Tech and a strong team of experts.",Rural Development,['Defence'],"['Data Analytics', 'Renewable Tech']",['Computer Vision'],15,15,7,Specialized,23,88,23200000,57,Series B,17000000,MVP,['ISO 27001'],4,14,11,True,True,Low,National,Hyderabad,['UP'],Pan India,10,Comprehensive,8x5,Complete,high_exp_weak_tech
fc4ccf17-7556-4af3-b86e-822937690624,Deshpande and Sons,"Defence startup focusing on Computer Vision, Drones","We build Computer Vision, Drones systems for defence applications, delivering scalable solutions and intelligent integration.",Defence,['Logistics'],"['Computer Vision', 'Drones']",['Predictive Analytics'],2,2,9,Specialized,16,73,21200000,68,Series A,0,Growth,"['ISO 27001', 'None']",1,18,2,True,False,Medium,National,Mumbai,['Maharashtra'],Pan India,5,Advanced,8x5,Complete,multi_sector
7d0ef47a-38ec-4f9e-b0b2-e15969ea994c,"Kumer, Goda and Bakshi","Cybersecurity startup focusing on Cryptography, Blockchain","We build Cryptography, Blockchain systems for cybersecurity applications, delivering scalable solutions and intelligent integration.",Cybersecurity,"['Governance', 'FinTech']","['Cryptography', 'Blockchain']",['Blockchain'],14,12,10,Strong,18,59,6500000,38,Series C,13000000,Mature,"['SOC 2', 'ISO 27001']",3,11,4,True,True,Medium,Local,Coimbatore,['Karnataka'],Surat,10,Basic,8x5,Complete,high_exp_weak_tech
3b9a0fe2-823f-4311-be23-653e11414b95,"Pandey, Bhardwaj and Kade",Transportation startup focusing on Route Optimization,"We build Route Optimization systems for transportation applications, delivering scalable solutions and intelligent integration.",Transportation,[],['Route Optimization'],[],8,0,12,Strong,24,48,27600000,37,Seed,18000000,Early Revenue,"['SOC 2', 'CMMI']",1,16,7,True,True,Medium,Regional,Chennai,['UP'],Pan India,11,Comprehensive,24x7,Complete,strong_sector_weak_scale
d86654e5-d54a-4877-b1b4-c60cd424781c,Patil Group,"Infrastructure startup focusing on Sensors, Computer Vision","An innovative startup leveraging Sensors, Computer Vision to revolutionize infrastructure operations.",Infrastructure,['Healthcare'],"['Sensors', 'Computer Vision']",['Data Analytics'],15,15,19,Specialized,17,81,43400000,38,Series B,1000000,Mature,"['CMMI', 'None']",4,4,12,True,True,Low,Regional,Noida,"['Maharashtra', 'West Bengal', 'Kerala']",Pan India,9,Comprehensive,8x5,Complete,high_exp_weak_tech
45765258-919a-49e0-843e-345a9c5d175d,Garg-Doctor,"Healthcare startup focusing on NLP, Medical AI, Wearables","Garg-Doctor specializes in NLP, Medical AI, Wearables combined with innovative software to solve healthcare challenges.",Healthcare,['Public Safety'],"['NLP', 'Medical AI', 'Wearables']",['IoT'],2,2,10,Strong,25,37,48900000,11,Series B,7000000,Mature,['CMMI'],1,17,10,False,False,Medium,National,Nagpur,"['Tamil Nadu', 'UP', 'Telangana']",Chandigarh,8,Basic,Community,Complete,early_stage_excellent_prototype
4d3a059b-6af0-4eac-9c0c-adb01b4cab1f,Iyengar LLC,"Disaster Management startup focusing on Drones, Predictive Analytics","An innovative startup leveraging Drones, Predictive Analytics to revolutionize disaster management operations.",Disaster Management,['Transportation'],"['Drones', 'Predictive Analytics']",['Route Optimization'],10,3,116,Strong,16,51,29600000,63,Seed,12000000,Mature,['CMMI'],4,20,10,True,True,Medium,Regional,Coimbatore,"['West Bengal', 'Telangana', 'Gujarat', 'UP']",Pan India,12,Comprehensive,24x7,Incomplete,incomplete_eligibility
be13d337-7940-4b08-a617-adc0393e6ad7,Gade LLC,Defence startup focusing on Computer Vision,An innovative startup leveraging Computer Vision to revolutionize defence operations.,Defence,"['Healthcare', 'Logistics']",['Computer Vision'],"['Route Optimization', 'Medical AI']",7,2,5,Strong,22,72,25800000,68,Series B,0,Prototype,"['ISO 27001', 'CMMI']",4,8,9,True,True,Low,National,Nashik,"['Telangana', 'Maharashtra', 'Karnataka', 'Tamil Nadu']",Pan India,4,Comprehensive,Community,Complete,strong_sector_weak_scale
709604dc-15ee-4462-808f-79a3128443bc,Yohannan LLC,"Environment startup focusing on Sensors, Data Analytics","We provide end-to-end environment services powered by Sensors, Data Analytics and a strong team of experts.",Environment,[],"['Sensors', 'Data Analytics']",[],3,0,126,Average,20,60,4700000,61,Bootstrapped,20000000,Prototype,['ISO 27001'],3,13,10,True,True,High,Local,Gurugram,"['West Bengal', 'Tamil Nadu']",Pan India,11,Advanced,Community,Complete,excellent_tech_low_exp
ff3f26f9-2e93-45fe-ab24-a914f35de6fc,Patla-Bal,"Tourism startup focusing on VR/AR, Recommendation Systems","An innovative startup leveraging VR/AR, Recommendation Systems to revolutionize tourism operations.",Tourism,"['Healthcare', 'Defence']","['VR/AR', 'Recommendation Systems']","['NLP', 'Drones']",13,13,8,Average,25,77,12300000,59,Seed,2000000,Mature,"['ISO 27001', 'CMMI']",3,7,2,True,True,Medium,National,Visakhapatnam,"['Gujarat', 'Karnataka', 'UP', 'Telangana']",Kochi,4,Advanced,Community,Incomplete,incomplete_eligibility
