challenge_id,challenge_title,problem_statement,detailed_description,sector,sub_sector,required_technologies,preferred_technologies,minimum_experience_years,required_certifications,eligibility_requirements,preferred_startup_stage,budget_min,budget_max,budget_currency,location,deployment_environment,scalability_requirement,expected_timeline_months,expected_outcomes,key_performance_indicators,procurement_category,challenge_priority,application_deadline,status
8073490c-13f5-485d-a8ae-d98f07e35552,AI Innovation for Education using Machine Learning,Develop a solution to improve education operations.,We are seeking startups with expertise in Machine Learning to build scalable solutions for Education.,Education,Education Tech,['Machine Learning'],"['NLP', 'Recommendation Systems']",0,['None'],Must have 0 years of experience and core capability in Machine Learning.,Any,1600000,6000000,INR,Pan India,Cloud,City Level,10,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-09-26T18:40:05.702666Z,Open
8dd3b10b-43d2-4148-a68b-2f2d3822a084,"AI Innovation for Smart City using Data Analytics, Computer Vision, IoT",Develop a solution to improve smart city operations.,"We are seeking startups with expertise in Data Analytics, Computer Vision, IoT to build scalable solutions for Smart City.",Smart City,Smart City Tech,"['Data Analytics', 'Computer Vision', 'IoT']",[],2,['SOC 2'],Must have 2 years of experience and core capability in Data Analytics.,Growth,1000000,3000000,INR,Pan India,On-Premise,State Level,6,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Medium,2026-11-04T18:40:05.702767Z,Open
37507323-21b0-4ce2-b823-bddcb528281c,"AI Innovation for Education using Machine Learning, NLP",Develop a solution to improve education operations.,"We are seeking startups with expertise in Machine Learning, NLP to build scalable solutions for Education.",Education,Education Tech,"['Machine Learning', 'NLP']",['VR/AR'],2,['SOC 2'],Must have 2 years of experience and core capability in Machine Learning.,Growth,3400000,4900000,INR,Pan India,Cloud,City Level,10,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-26T18:40:05.702812Z,Open
98b18b99-09b1-4480-8e0a-e6b62203a9dc,AI Innovation for Renewable Energy using Smart Grids,Develop a solution to improve renewable energy operations.,We are seeking startups with expertise in Smart Grids to build scalable solutions for Renewable Energy.,Renewable Energy,Renewable Energy Tech,['Smart Grids'],['IoT'],2,['SOC 2'],Must have 2 years of experience and core capability in Smart Grids.,Scaling,3300000,5300000,INR,Surat,Cloud,National Level,8,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-10-14T18:40:05.702842Z,Open
c4ff8043-795c-4939-8a95-953711753ce9,AI Innovation for Renewable Energy using ML,Develop a solution to improve renewable energy operations.,We are seeking startups with expertise in ML to build scalable solutions for Renewable Energy.,Renewable Energy,Renewable Energy Tech,['ML'],['IoT'],5,['None'],Must have 5 years of experience and core capability in ML.,Growth,5000000,9500000,INR,Pan India,On-Premise,City Level,13,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Medium,2026-10-05T18:40:05.702867Z,Open
34c42a9b-ed9b-4714-90f4-719a0ab75118,AI Innovation for Agriculture using Satellite Imaging,Develop a solution to improve agriculture operations.,We are seeking startups with expertise in Satellite Imaging to build scalable solutions for Agriculture.,Agriculture,Agriculture Tech,['Satellite Imaging'],"['IoT', 'Drones']",1,['ISO 27001'],Must have 1 years of experience and core capability in Satellite Imaging.,Scaling,3900000,5800000,INR,Coimbatore,Edge,National Level,15,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,High,2026-10-07T18:40:05.702893Z,Open
23a5d305-eda0-4e94-8e98-f4c86a0ad297,"AI Innovation for Cybersecurity using Threat Detection, Blockchain, Cryptography",Develop a solution to improve cybersecurity operations.,"We are seeking startups with expertise in Threat Detection, Blockchain, Cryptography to build scalable solutions for Cybersecurity.",Cybersecurity,Cybersecurity Tech,"['Threat Detection', 'Blockchain', 'Cryptography']",['AI'],2,['SOC 2'],Must have 2 years of experience and core capability in Threat Detection.,Any,3700000,8500000,INR,Guwahati,Hybrid,National Level,3,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Service,Low,2026-09-25T18:40:05.702931Z,Open
04fc0fbc-3d70-4d3a-87dd-38115c9a01a5,"AI Innovation for Education using Machine Learning, NLP, VR/AR",Develop a solution to improve education operations.,"We are seeking startups with expertise in Machine Learning, NLP, VR/AR to build scalable solutions for Education.",Education,Education Tech,"['Machine Learning', 'NLP', 'VR/AR']",['Recommendation Systems'],0,['ISO 27001'],Must have 0 years of experience and core capability in Machine Learning.,Early Traction,1000000,3600000,INR,Nagpur,On-Premise,City Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-10-23T18:40:05.702955Z,Open
17f1dc4f-32f6-481f-aaf2-59d5506eaf5f,AI Innovation for Logistics using Blockchain,Develop a solution to improve logistics operations.,We are seeking startups with expertise in Blockchain to build scalable solutions for Logistics.,Logistics,Logistics Tech,['Blockchain'],"['IoT', 'Route Optimization']",0,['ISO 27001'],Must have 0 years of experience and core capability in Blockchain.,Scaling,3300000,6200000,INR,Pan India,Cloud,National Level,18,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Software,Low,2026-10-06T18:40:05.702977Z,Open
4d5c5653-bf8e-46ce-862e-b3b7e1584ce3,AI Innovation for Cybersecurity using Cryptography,Develop a solution to improve cybersecurity operations.,We are seeking startups with expertise in Cryptography to build scalable solutions for Cybersecurity.,Cybersecurity,Cybersecurity Tech,['Cryptography'],"['Network Security', 'Blockchain']",2,['None'],Must have 2 years of experience and core capability in Cryptography.,Scaling,4800000,8500000,INR,Nashik,Edge,National Level,14,"Demonstrable prototype, successful pilot, and scalable production deployment.","['System Uptime', 'User Adoption', 'Processing Speed']",Hardware & Software,Low,2026-10-04T18:40:05.702999Z,Open
